,phenovaluecount,prephenovalue,postphenovalue
6968,1,easy to learn 2nd language,x
6969,1,Yes,x
6970,1,somewhat easy,x
6971,1,Reasonably well in closely related ( i.e. Scandinavian) languages,x
6972,1,only computer languages,x
6973,1,Reasonably well in closely related ( i.e. scandinavian) languages,x
6974,Phenotype,Amblyopia,Amblyopia
6975,6233,-,-
6976,69,False,No
6977,54,No,No
6978,40,True,Yes
6979,5,no,No
6980,4,Both eyes gone weak on me,U
6981,Phenotype,Response to Remicade,x
6982,6367,-,x
6983,37,I don't know,x
6984,1,never heard of remicade,x
6985,Phenotype,mouth size,x
6986,6187,-,x
6987,106,Medium,x
6988,82,Small,x
6989,24,Large,x
6990,3,medium,x
6991,2,Slightly wide mouth ,x
6992,1,large,x
6993,Phenotype,Fight or flight response (see description),x
6994,6217,-,x
6995,52,Depends on the situation ,x
6996,44,Flight,x
6997,41,Fight,x
6998,31,Depends if he is armed ,x
6999,8,Freeze,x
7000,3,flight,x
7001,1,depends if he is armed ,x
7002,1,fight & win - never be a victim,x
7003,1,definitely flight,x
7004,1,Fight only because I run really slow,x
7005,1,Flight so I can be in the street when my heart beats out of my chest.,x
7006,1,Definitely flight,x
7007,1,Flight so i can be in the street when my heart beats out of my chest.,x
7008,1,Fight only because i run really slow,x
7009,1,Fight & win - never be a victim,x
7010,Phenotype,Do you grind your teeth,Do you grind your teeth
7011,6123,-,-
7012,131,Yes,Yes
7013,88,No,No
7014,45,Have been told i did sometimes while sleeping,Yes
7015,9,Clench but don’t grind,U
7016,8,A lot only while sleeping,Yes
7017,1,no,No
7018,Phenotype,Haemophilia/Hemophilia,x
7019,6226,-,x
7020,161,No,x
7021,4,Carrier,x
7022,3,Bad blood clotting ,x
7023,3,No. clot too quickly.,x
7024,1,bad blood clotting ,x
7025,1,No. Clot too quickly.,x
7026,1,Factor XI rs2289252 T/T ,x
7027,1,Type A: Factor VIII deficient (severe),x
7028,1,rs2289252 C/T,x
7029,1,Rs2289252 c/t,x
7030,1,Factor xi rs2289252 t/t ,x
7031,1,Von Willebrand 2A,x
7032,Phenotype,congenital talipes equinovarus (CTEV),x
7033,6279,-,x
7034,121,No,x
7035,5,Yes,x
7036,Phenotype,Physical Characteristic,x
7037,6325,-,x
7038,48,Night owl,x
7039,21,Early bird,x
7040,8,Both,x
7041,1,Night Owl,x
7042,1,early bird,x
7043,1,both,x
7044,Phenotype,Abnormal Blood Pressure,x
7045,6174,-,x
7046,41,Normal,x
7047,39,Hypertenisve,x
7048,33,Low to normal,x
7049,22,Prehypertension,x
7050,20,Low blood pressure,x
7051,14,Hypertension,x
7052,11,Hypotension,x
7053,10,Normal...,x
7054,9,Had hypertension now normal.,x
7055,7,Orthostatically variable (postural changes),x
7056,4,Hypertensive w/ extreme orthostatic variations,x
7057,4,110/80,x
7058,4,hypertenisve,x
7059,2,Rs2075650,x
7060,2,prehypertension,x
7061,1,Low pulse pressure,x
7062,1,rs2075650,x
7063,1,Hypertensive w/ Extreme Orthostatic Variations,x
7064,1,Prehypertension low pulse,x
7065,1,Norma,x
7066,1,extreme hypertension with minimal response to meds,x
7067,1,Dont know,x
7068,1,Neurally Mediated Syncope (BP drops low at heat extended standing exersion etc),x
7069,1,Neurally mediated syncope (bp drops low at heat extended standing exersion etc),x
7070,Phenotype,brunette,x
7071,6325,-,x
7072,33,Caucasian ,x
7073,20,No,x
7074,18,Dark brown,x
7075,4,Brown now silver,x
7076,2,brown now silver,x
7077,2,Yes,x
7078,1,Dark Brown,x
7079,Phenotype,Pectus Excavatum (sunken chest),x
7080,6325,-,x
7081,70,No,x
7082,6,Yes not mild but not extreme either,x
7083,2,Mild deformity after puberty none as child.,x
7084,1,Yes haller Index -severe since infancy,x
7085,1,Yes haller index -severe since infancy,x
7086,Phenotype,Index Toe Longer than Big Toe,x
7087,6124,-,x
7088,77,Index toe longer,x
7089,48,No,x
7090,38,Big toe larger then second or index toe,x
7091,32,Index toe larger than big toe,x
7092,18,Index toe the same height as big toe,x
7093,13,Big Toe Larger then Second or Index Toe,x
7094,10,2nd toe longer,x
7095,10,index toe longer,x
7096,7,Yes,x
7097,6,Toe size in order big thru little,x
7098,4,Left index longer than big toe,x
7099,4,Toe size in order Big thru little,x
7100,4,Index Toe Larger Than Big Toe,x
7101,3,no,x
7102,3,Right side index longer left sidebig toe longer,x
7103,1,right side index longer left sidebig toe longer,x
7104,1,Right side index longer.,x
7105,1,yes,x
7106,1,Morton’s neuroma,x
7107,Phenotype,Tongue roller,x
7108,5567,-,x
7109,569,Tongue roller,x
7110,137,Non-roller,x
7111,38,Roller,x
7112,21,Yes,x
7113,18,Tongue folder,x
7114,15,Non ,x
7115,13,Non-Roller,x
7116,11,Tongue roller can fold tongue into 3-leaf clover shape,x
7117,8,No but my siblings (7) can roll,x
7118,4,Tongue Folder,x
7119,3,No but parent and a sibling can.,x
7120,1,roller,x
7121,Phenotype,Hair Color,x
7122,5489,-,x
7123,159,Brown,x
7124,94,Dark brown,x
7125,67,Black,x
7126,63,Brown-black,x
7127,53,Blonde,x
7128,38,Dark blonde (light brown),x
7129,38,Light to medium brown,x
7130,31,Medium brown,x
7131,27,Dirt-blonde,x
7132,27,Blond born today dark brown,x
7133,24,Dark brown red highlights,x
7134,24,Light brown,x
7135,20,Auburn (reddish-brown),x
7136,19,Blond as a child and light brown as an adult,x
7137,18,Red,x
7138,15,Brown-Black,x
7139,15,Strawberry blonde,x
7140,14,Dark Brown,x
7141,12,Dirty blonde light brown something?,x
7142,12,Medium brown with highlights,x
7143,11,brown,x
7144,10,Blonde to light brown as child medium brown as adult with blonde highlights from sun,x
7145,9,Blonde as a child to brown as an adult,x
7146,9,Light ashy brown,x
7147,8,Darkest brown to black,x
7148,6,Blond as a child.  dark blond as an adult.,x
7149,6,dark brown,x
7150,5,Auburn (Reddish-Brown),x
7151,5,Light to Medium brown,x
7152,5,Blond,x
7153,4,Medium brown red highlights,x
7154,4,Auburn,x
7155,4,Dark blonde ,x
7156,4,Dirt-brown,x
7157,3,red,x
7158,3,Dark blonde as a child dark brown as an adult,x
7159,3,Blonde as a child light brown as an adult,x
7160,3,Blackish brown,x
7161,3,Reddish-brown,x
7162,3, light blonde as a child and medium blonde as an adult. ,x
7163,3,Hair darkening with age starting blonde ending dark brown,x
7164,3,Dark blonde,x
7165,2,Dirt-Brown,x
7166,2,Chestnut brown,x
7167,2,Brown and silver,x
7168,2,Blonde as child ash blonde as adult early white,x
7169,2,blond born today dark brown,x
7170,2,Cc,x
7171,2,CC,x
7172,2,Red (gone blond-grey),x
7173,1,blonde to light brown as child medium brown as adult with blonde highlights from sun,x
7174,1,Blond as a child.  Dark blond as an adult.,x
7175,1,Bright Copper Ginger into my 40s. Light Auburn with grey temples as I age.,x
7176,1,Strawberry blond as a child now dark auburn brown,x
7177,1,Dirt-Blonde,x
7178,1,Dark brown blonde highlights,x
7179,1,blonde as a child to brown as an adult,x
7180,1, Light blonde as a child and medium blonde as an adult. ,x
7181,1,hair darkening with age starting blonde ending dark brown,x
7182,1,Dark blonde with a little of every colour but black.,x
7183,1,Strawberry brown,x
7184,1,dark blonde as a child dark brown as an adult,x
7185,1,medium brown red highlights,x
7186,1,Blond as a child and Light Brown as an Adult,x
7187,1,strawberry brown,x
7188,1,Dark blonde as a child chestnut brown as an adult,x
7189,Phenotype,opensnp.org,x
7190,6393,-,x
7191,7,0,x
7192,2,No idea,x
7193,1,rs73598374 (CC),x
7194,1,no idea,x
7195,1,Support,x
7196,Phenotype,Subjective dream intensity,x
7197,6134,-,x
7198,109,High,x
7199,42,Rare memories of dreams,x
7200,31,Moderate,x
7201,25,Moderate rarely vivid,x
7202,16,Low,x
7203,13,Qualitative questions like this bother me a lot,x
7204,13,I have exhausting lucid-dreams,x
7205,8,low,x
7206,6,moderate,x
7207,3,high,x
7208,1,moderate rarely vivid,x
7209,1,rare memories of dreams,x
7210,1,i have exhausting lucid-dreams,x
7211,1,They were more intense when I was younger. ,x
7212,1,They were more intense when i was younger. ,x
7213,Phenotype,Prone to Cysts,x
7214,6292,-,x
7215,45,Yes,x
7216,30,None,x
7217,19,No,x
7218,14,Ovarian,x
7219,3,none,x
7220,1,Yes Spermatocele,x
7221,1,ovarian,x
7222,Phenotype,Am I a duck?,x
7223,6281,-,x
7224,64,No,x
7225,16,Not funny,x
7226,15,Kwak,x
7227,9,Goose,x
7228,9,Member of the duck species,x
7229,5,Swan,x
7230,3,Platypus,x
7231,1,Member of the Duck species,x
7232,1,kwak,x
7233,1,Axolotl ,x
7234,Phenotype,Body shape,x
7235,6188,-,x
7236,53,Hourglass,x
7237,32,Pear,x
7238,25,Thin,x
7239,25,Apple,x
7240,20,Athletic - large shoulders,x
7241,13,Inverted triangle,x
7242,13,Rectangle,x
7243,8,Well proportioned,x
7244,7,Obese but not shaped like fruit,x
7245,7,None of the listed ones,x
7246,5,Normal 52 year old male,x
7247,3,none of the listed ones,x
7248,3,Hourglass-ish wide shldrs long neck/extremities small brsts/wst/hips to be exact,x
7249,1,pear,x
7250,1,hourglass-ish wide shldrs long neck/extremities small brsts/wst/hips to be exact,x
7251,1,oval,x
7252,Phenotype,Black hair and Green Eyes,x
7253,6340,-,x
7254,50,No,x
7255,6,Yes,x
7256,5,Yes with very fair skin,x
7257,2,Black hair and brown eyes,x
7258,1,no,x
7259,1,sherylclyde@gmail.com,x
7260,Phenotype,Desmoid Tumor,x
7261,6235,-,x
7262,155,No,x
7263,10,Don't know.,x
7264,5,I dont know cant afford dr,x
7265,Phenotype,Artistic ability,Artistic ability
7266,6070,-,-
7267,66,Excellent,Yes
7268,34,Not artistic,No
7269,33,Some forms photography-yes drawing-no,U
7270,29,Moderate,U
7271,28,Yes,Yes
7272,28,This is not a measurable phenotype.,U
7273,22,No,No
7274,16,Good,Yes
7275,14,Medium,U
7276,11,Very little,U
7277,7,medium,U
7278,7,Better than average.,U
7279,6,In many areas,U
7280,6,Drawing crafts welding writing design etc.,U
7281,4,Fair,U
7282,3,Very good,Yes
7283,3,Short story - fantasy,U
7284,3,good,Yes
7285,2,passive receptivegood color balance,U
7286,2,Low to moderate,U
7287,2,Not sure what you mean,U
7288,1,Caucasian,U
7289,1,in many areas,U
7290,1,fair,U
7291,1,Pottery & Music - some drawing,U
7292,1,photography and music,U
7293,1,Passive receptivegood color balance,U
7294,1,some forms photography-yes drawing-no,U
7295,1,yes,Yes
7296,1,Subjective,U
7297,Phenotype,Coffee consumption,x
7298,5624,-,x
7299,146,2 cups/day,x
7300,79,3 cups/day,x
7301,77,5 cups/day,x
7302,53,1 cup/dday,x
7303,48,4 cups/day,x
7304,39,I don´t drink cofee,x
7305,38,0 cups/day,x
7306,28,7 cups/day,x
7307,27,Dislike/do not drink,x
7308,21,3-5 cups,x
7309,18,Don't drink coffee,x
7310,17,Occasionally ,x
7311,13,10 cups/day plus,x
7312,11,Different,x
7313,11,Fastest metabolizer - i live on caffeine,x
7314,11,1 cup/day,x
7315,10,1 cup/day to none,x
7316,10,Tea drinker,x
7317,10,3 cups/daily,x
7318,10,Non-drinker,x
7319,9,Slow metabolizer,x
7320,8,I feel anxiety or feel sick after drinking coffee,x
7321,8,Coffee one day green tea the next,x
7322,7,1  to 2 cups per day,x
7323,5,I love coffee but only drink it on occasion,x
7324,5,Espresso fiend,x
7325,4,4 cups/week,x
7326,4,2 cups/week,x
7327,4,AA Super Fast Metabolizer,x
7328,3,rs2472297,x
7329,3,2 cups/Day,x
7330,3,Coffee one day Green Tea the next,x
7331,3,i don´t drink cofee,x
7332,3,5 cups/Day,x
7333,3,Non-Drinker,x
7334,3,Aa super fast metabolizer,x
7335,2,2 cups/day fast metabolizer,x
7336,2,Rs2472297,x
7337,2,Decaf only,x
7338,2,rs762551 rs2472297,x
7339,2,>600 mg caffeine/day,x
7340,2,Dislike/Do not drink,x
7341,2,0-2 cups/day,x
7342,2,CC,x
7343,1,Xenobiotic polymorphism,x
7344,1,1 Jet Alert pill/day,x
7345,1,0-1 daily,x
7346,1,different,x
7347,1,Cc - don't drink coffee,x
7348,1,1 cup/Dday,x
7349,1,Cc,x
7350,1,Fastest Metabolizer - I Live on Caffeine,x
7351,1,tea drinker,x
7352,1,cc - don't drink coffee,x
7353,1,4 cups/Day,x
7354,1,1 cup/Day to none,x
7355,1,None,x
7356,Phenotype,ABO Rh,x
7357,6305,-,x
7358,24,A+,x
7359,19,O+,x
7360,17,B+,x
7361,14,A-,x
7362,14,O-,x
7363,4,B-,x
7364,3,Unknown,x
7365,2,rs8176719(DD) rs8176746(CC),x
7366,2,Ab-,x
7367,1,AB-,x
7368,Phenotype,Neanderthal (Interpretome),x
7369,6378,-,x
7370,7,Unknown,x
7371,4,7.56% ceu,x
7372,3,This is a genotype not a phenotype,x
7373,2,unknown,x
7374,2,.5%,x
7375,2,Xx,x
7376,1,15/84 CEU,x
7377,1,5% CEU,x
7378,1,11/84 Italian,x
7379,1,8% CEU,x
7380,1,XX,x
7381,1,1.8% English ,x
7382,1,10/84 CEU,x
7383,Phenotype,ring finger longer than index finger,ring finger longer than index finger
7384,5836,-,-
7385,284,Yes,Yes
7386,152,No,No
7387,46,Equal,U
7388,25,yes,Yes
7389,25,Both ring fingers are longer than my index fingers but my right ring finger is 1-2 mm longer than the left one.,Yes
7390,21,Both ring fingers are longer than my index fingers.,Yes
7391,11,Left hand: yes / right hand: equal,Yes
7392,3,equal,U
7393,2,Right hand: yes / left hand: equal ,Yes
7394,Phenotype, African,x
7395,6232,-,x
7396,97,No,x
7397,20,0.1% sub-saharan african,x
7398,7,Dont know,x
7399,4,.9% North African,x
7400,4,Small % Morroccan,x
7401,4,0.2% west african,x
7402,3,Middle east,x
7403,3,5%,x
7404,2,middle east,x
7405,2,7.5% Sub-Saharan African,x
7406,2,0.3% sub-saharan african,x
7407,2,North africa 4% + west africa 4%,x
7408,2,81.9 % Sub-Saharan African,x
7409,1,North Africa 4% + West Africa 4%,x
7410,1,2% Sub-Saharan African,x
7411,1,.2% East/Central Africa (FTDNA) or 1% West Asia (AncestryDNA),x
7412,1,I'm part,x
7413,1,rs10172629,x
7414,1,1-2% north african,x
7415,1,0.6% Sub-Saharan African,x
7416,1,70% ,x
7417,1,0.4% North African,x
7418,1,0.1% Sub-Saharan African,x
7419,1,.9% north african,x
7420,1,0.3% Sub-Saharan African,x
7421,1,7.5% sub-saharan african,x
7422,1,yes,x
7423,1,49.92% West African,x
7424,1,79% West African,x
7425,1,.9% Sub-Saharan African,x
7426,1,0.2% West African,x
7427,1,16.7 %,x
7428,1,1.5,x
7429,1,0.4% Nigerian,x
7430,Phenotype,Taste of broccoli,x
7431,5937,-,x
7432,207,Like it,x
7433,62,Love it,x
7434,48,Fucking delicious,x
7435,35,Ok - better cooked in stir fry,x
7436,35,Ok,x
7437,31,Dislike,x
7438,18,Love it cooked but too bitter raw,x
7439,11,Love it both raw and cooked,x
7440,4,Love it steamed with butter,x
7441,4,fucking delicious,x
7442,3,dislike,x
7443,2,Like it but mainly eat broccoli sprouts,x
7444,1,OK,x
7445,1,Love it normally but completely hated it during pregnancy,x
7446,1,like it but mainly eat broccoli sprouts,x
7447,1,OK - better cooked in stir fry,x
7448,1,Liked it when younger now not a fan,x
7449,1,Love it but it makes me bloat and very gassy,x
7450,1,Yes but only the stems,x
7451,1,love it,x
7452,Phenotype,Ear wiggling,Ear wiggling
7453,6187,-,-
7454,133,No,No
7455,73,Yes,Yes
7456,7,Can wiggle both ears: together and independently,Yes
7457,4,Right ear only,Yes
7458,1,right ear only,Yes
7459,Phenotype,Artistic Talent,Artistic Talent
7460,6267,-,-
7461,54,Talented ,Yes
7462,39,None,No
7463,35,Very talented,Yes
7464,3,Decent,U
7465,3,a bit,U
7466,1,none,No
7467,1,very talented,Yes
7468,1,charc,U
7469,1,A bit,U
7470,Phenotype,african-northern european,x
7471,6345,-,x
7472,29,Northern european,x
7473,13,None,x
7474,7,Northern european with a small percentage african ,x
7475,3,Yes both,x
7476,1,northern european,x
7477,1,Northern European with 16.7% African,x
7478,1,afro-germanic,x
7479,1,northern european with 02% african,x
7480,1,Afro-germanic,x
7481,1,yes both,x
7482,1,African very small percentage Northern european,x
7483,1,This is a genotype not a phenotype,x
7484,Phenotype,Do you like the taste of hops?,x
7485,6236,-,x
7486,68,No,x
7487,52,Yes,x
7488,34,In beer,x
7489,6,Don't eat foods containing hops,x
7490,3,I dont drink thank you,x
7491,2,Bitter,x
7492,1,No I am allergic to hops.,x
7493,1,No i am allergic to hops.,x
7494,1,bitter,x
7495,1,Never tasted alcohol,x
7496,Phenotype,Homophobia - Questionnaire Result,x
7497,6281,-,x
7498,48,Not at all homophobic,x
7499,19,Hetersosexual.not gay at all,x
7500,13,I´m gay !!!,x
7501,13,Bisexual,x
7502,6,High-grade non-homophobic,x
7503,6,4,x
7504,3,13,x
7505,3,9,x
7506,3,I am not hetersosexual. I'am only attracted to my Men and I am a female.,x
7507,2,Not at all Homophobic,x
7508,2,2,x
7509,1,15,x
7510,1,8,x
7511,1,35,x
7512,1,I am not hetersosexual. i'am only attracted to my men and i am a female.,x
7513,1,18,x
7514,1,26,x
7515,Phenotype,rolled tongue,rolled tongue
7516,6219,-,-
7517,136,Yes,Yes
7518,44,No,No
7519,2,unsure,U
7520,2,Unsure,U
7521,1,yes,Yes
7522,1,no,No
7523,Phenotype,Sex,x
7524,5056,-,x
7525,649,Male,x
7526,481,Female,x
7527,77,Man,x
7528,51,Woman,x
7529,19,Female but feel non-gendered,x
7530,17,female,x
7531,13,male,x
7532,11,Transgender ftm,x
7533,7,Love it,x
7534,4,Male but genderfluid,x
7535,4,Trans woman,x
7536,3,Non-binary xx / genderqueer female-bodied,x
7537,2,woman,x
7538,2,Transgender mtf,x
7539,1,Non-binary XX / genderqueer female-bodied,x
7540,1,Love It,x
7541,1,Female.  Uploaded only mito.,x
7542,1,Female ,x
7543,1,Female.  uploaded only mito.,x
7544,1,female but feel non-gendered,x
7545,1,Transgender FtM,x
7546,1,trans woman,x
7547,1,transgender intersex,x
7548,Phenotype,Mental Disease,Mental Disease
7549,6172,-,-
7550,61,None,No
7551,45,Anxiety and depression,Yes
7552,26,Depression,Yes
7553,11,Anxiety,Yes
7554,10,Prob a few of them,U
7555,8,Anxiety (esp. social) depression OCD autistic tendencies maladaptive daydreaming,Yes
7556,7,Bipolar,Yes
7557,6,Asperger's disorder,Yes
7558,5,Panic disorder,Yes
7559,5,Adhd anxiety depression adjustment disorder,Yes
7560,4,ADHD Anxiety Depression Adjustment Disorder,Yes
7561,4,Ptsd and results of it(dissociative disorder depression anxiety) maladaptive daydreaming and autistic tendencies,Yes
7562,4,Asperger's Syndrome ADHD schizoaffective bipolar and Agoraphobia,Yes
7563,3,Major depressive disorder ptsd generalized anxiety panic disorder add ocd,Yes
7564,3,rs4948418,U
7565,3,Multiple diagnosed,Yes
7566,2,Rs4948418,U
7567,2,PDD-NOS and  ADHD,U
7568,2,major depressive disorder PTSD generalized anxiety panic disorder ADD OCD,Yes
7569,2,Major depressive disorder dysthymia asd social anxiety disorder ocd adhd unspecified dissociative disorder developmental speech/language disorder,Yes
7570,1,Major Depressive Disorder Generalized Anxiety Binge Eating Disorder,Yes
7571,1,Paranoid Schizophrenia,Yes
7572,1,Bipolar 2 adhd ptsd,Yes
7573,1,Anxiety (esp. social) depression ocd autistic tendencies maladaptive daydreaming,Yes
7574,1,Paranoid schizophrenia,Yes
7575,1,Major depressive disorder generalized anxiety binge eating disorder,Yes
7576,1,Anorexia nervosa anxiety depression,Yes
7577,1,anxiety ocd agoraphobia depression,Yes
7578,1,Schizoid,Yes
7579,1,Bipolar 2 ADHD PTSD,Yes
7580,1,multiple diagnosed,Yes
7581,1,Hypomania/OCD/Anxiety,Yes
7582,1,Sad depression,Yes
7583,1,Panic disorder agoraphobia,Yes
7584,1,Anxiety and Depression,Yes
7585,1,panic disorder,Yes
7586,1,none,No
7587,1,SAD depression,Yes
7588,1,panic disorder agoraphobia,Yes
7589,1,Borderline Personality Disorder ,U
7590,Phenotype,Enjoy driving a car,Enjoy driving a car
7591,5959,-,-
7592,245,Yes,Yes
7593,80,No,No
7594,37,Sometimes,U
7595,26,yes,Yes
7596,18,Mostly makes me anxious but sometimes nice,U
7597,15,No licence,U
7598,11,no,No
7599,6,Yeppers,Yes
7600,5,Yes sing along with mustang sally change  lyrics lead food vicki,Yes
7601,2,no licence,U
7602,1,Yes sing along with Mustang sally change  lyrics Lead food Vicki,Yes
7603,Phenotype,English ACT,x
7604,6368,-,x
7605,17,Na,x
7606,5,Don't remember,x
7607,4,36,x
7608,3,32,x
7609,2,30,x
7610,2,31,x
7611,1,24,x
7612,1,nan,x
7613,1,23,x
7614,1,35,x
7615,Phenotype,Smell of coffee in urine,Smell of coffee in urine
7616,6151,-,-
7617,115,No,No
7618,84,Yes,Yes
7619,20,Strongly,Yes
7620,16,Unknown (don't drink coffee),U
7621,7,If i drink to much yes kinda,U
7622,4,unknown (don't drink coffee),U
7623,4,"Not sure if coffee  have smelled ""sweet"" smell periodically",U
7624,2,yes,Yes
7625,1,strongly,Yes
7626,1,"not sure if coffee  have smelled ""sweet"" smell periodically",U
7627,Phenotype,First word,x
7628,6253,-,x
7629,50,Don't know,x
7630,26,Dada,x
7631,16,Mama,x
7632,11,My parents never told me and honestly i didn't really care to ask them,x
7633,8,Papa,x
7634,4,Manimoto,x
7635,3,No,x
7636,3,My parents never told me and honestly I didn't really care to ask them,x
7637,3,Book,x
7638,3,Light,x
7639,2,Sa? (what's that?),x
7640,2,Ball,x
7641,2,Car,x
7642,2,how am i suppose to know that,x
7643,1,How?,x
7644,1,byebye,x
7645,1,Pizza,x
7646,1,Mommy,x
7647,1,Moon,x
7648,1,Putty (mix of pussy and kitty),x
7649,1,kitty,x
7650,1,Shit (seriously),x
7651,1,shit (seriously),x
7652,1,egg,x
7653,1,Shut up,x
7654,1,Daddy work,x
7655,1,duck,x
7656,1,mine,x
7657,1,airplane,x
7658,1,I'm sexy and I know it,x
7659,1,Cookie,x
7660,Phenotype,"Blood Type A1, Rh positive",x
7661,6315,-,x
7662,21,A+,x
7663,19,O-,x
7664,18,O+,x
7665,11,No,x
7666,9,A-,x
7667,5,No A2B3 (cis-AB) rh negtive,x
7668,2,No a2b3 (cis-ab) rh negtive,x
7669,2,Ab+,x
7670,2,AB-,x
7671,1,a+,x
7672,Phenotype,"Palpitations Unrelated To Food, Alcohol, Drugs or Exercise",x
7673,6354,-,x
7674,21,Yes,x
7675,17,Sometimes,x
7676,10,No,x
7677,3,rarely,x
7678,Phenotype,Dimple in the chin,Dimple in the chin
7679,6202,-,-
7680,88,No,No
7681,66,No dimple in chin,No
7682,41,Yes,Yes
7683,7,Slight,U
7684,1,slight,U
7685,Phenotype,Number of wisdom teeth,x
7686,6015,-,x
7687,141,4 (before extraction),x
7688,131,4,x
7689,38,0,x
7690,34,2,x
7691,24,3,x
7692,8,1,x
7693,4,2.5 (no extraction),x
7694,3,5,x
7695,3,Unknown,x
7696,2,4 all rotated 90°,x
7697,2,6,x
7698,Phenotype,natural skinny,natural skinny
7699,6090,-,-
7700,65,No,No
7701,56,Yes,Yes
7702,25,Not sickly-skinny but naturally slim,U
7703,25,Yes when young,U
7704,24,Yes - especially as a kid (went into low-normal range as adult),U
7705,19,No trouble gaining weight no trouble losing it,U
7706,18,Yes - as a kid,U
7707,17,Overweight but can lose,U
7708,15,no,No
7709,9,yes,Yes
7710,9,Obese,No
7711,8,Was always very thin as kid and in twenties couldn't gain weight changed around age 30 and now am slightly overweight and can't lose it,U
7712,4,Very skinny as child didnt gain weight but now overweight trouble losing it,U
7713,3,Unable to gain weight,U
7714,2,no trouble gaining weight no trouble losing it,U
7715,2,Can't gain weight when i eat wheat,U
7716,2,obese,U
7717,2,Heavy as a child now thin,U
7718,2,overweight as a child lost many times now back to obese as an adult,U
7719,2,Very slim as child now average. 6'0  180lbs,U
7720,2,Average,U
7721,1,yes - especially as a kid (went into low-normal range as adult),U
7722,1,Can't gain weight when I eat wheat,U
7723,1,very skinny as child didnt gain weight but now overweight trouble losing it,U
7724,1,Yes-trouble maintaining weight until menopause now overweight. ,U
7725,Phenotype,how do you like your steak?,x
7726,6168,-,x
7727,77,Medium rare,x
7728,41,Rare,x
7729,29,Vegetarian,x
7730,27,Medium,x
7731,27,Medium well,x
7732,18,Well-done,x
7733,6,Almost burned,x
7734,3,Medium maybe once a year if that,x
7735,2,Raw,x
7736,2,Don't eat red meat,x
7737,1,rare,x
7738,1,raw,x
7739,1,don't eat red meat,x
7740,1,Vegan,x
7741,1,"All levels except ""cutting its horns off and wiping its ass""",x
7742,Phenotype,Pale ,x
7743,6258,-,x
7744,41,Pale,x
7745,32,I have very light skin,x
7746,25,Medium light,x
7747,20,Tan,x
7748,12,Medium,x
7749,5,Very fair freckles,x
7750,4,No,x
7751,4,Very fair neutral undertone ,x
7752,3,Porcelain,x
7753,1,pale,x
7754,Phenotype,Affinity For Animals,x
7755,6238,-,x
7756,106,Yes,x
7757,41,Very high!,x
7758,19,Neutral,x
7759,1,Dislike most animals,x
7760,Phenotype,Toe Thumbs,x
7761,6336,-,x
7762,40,Normal thumbs,x
7763,16,None,x
7764,8,Thumbs,x
7765,3,Normal Thumbs,x
7766,1,none,x
7767,1,one toe thumb one normal thumb,x
7768,Phenotype,Sport interest,Sport interest
7769,6177,-,-
7770,68,No,No
7771,22,Slight,U
7772,21,Hardly,No
7773,20,Medium ,Yes
7774,16,Strongly,U
7775,12,Yes,Yes
7776,11,Yes-playing no-watching,U
7777,9,no,No
7778,8,hardly,No
7779,8,Interested in me exercising and no interest in watching sports,U
7780,8,Hate sports,No
7781,7,Fuck no,No
7782,6,Yes - watching american football,Yes
7783,2,strongly,Yes
7784,1,Yes if I can attend live event,U
7785,1,Baseball random interest in others not a rabid fan in general,U
7786,1,Slight (watching m.u. rugby or strong man competitions),Yes
7787,1,Yes if i can attend live event,Yes
7788,1,Yes-Playing No-Watching,Yes
7789,1,Slight (watching M.U. Rugby or Strong Man competitions),Yes
7790,1,Yes - watching American Football,Yes
7791,1,hate sports,No
7792,1,slight,U
7793,1,nothing,U
7794,Phenotype,Body complexity,x
7795,6237,-,x
7796,41,Average,x
7797,35,Curvy,x
7798,26,Broad shouldered heavy build,x
7799,20,Slim,x
7800,15,Broad shouldered/narrow waist,x
7801,7,Slim slightly pear,x
7802,5,Thin with wide hips,x
7803,4,6 ft 2 inch 220 lbs extra large shirt 36 34 pants,x
7804,4,Slim Curves Toned,x
7805,1,Top heavy small bottom,x
7806,1,5’8 broad shoulders very top heavy long arms and legs ,x
7807,1,Long legs,x
7808,1,Short legs otherwise normal,x
7809,1,Slim curves toned,x
7810,1,No,x
7811,1,top heavy small bottom,x
7812,1,short legs otherwise normal,x
7813,1,slim slightly pear,x
7814,1,curvy,x
7815,1,Skinny,x
7816,Phenotype,"White skin, black straight  hair, B+",x
7817,6356,-,x
7818,23,Brown hair caucasian,x
7819,10,No,x
7820,7,Black hair caucasian,x
7821,5,Blond hair caucasian,x
7822,1,Brown hair Caucasian,x
7823,1,blond hair caucasian,x
7824,1,Black hair Caucasian,x
7825,1,Blonde hair Asian,x
7826,Phenotype,Height,x
7827,5050,-,x
7828,91,"5'8""",x
7829,85,"5'7""",x
7830,71,"5'4""",x
7831,71,"5'6""",x
7832,59,"5'11""",x
7833,57,"5'5""",x
7834,54,"5'9""",x
7835,54,"5'2""",x
7836,51,5'10'',x
7837,50,5'3'',x
7838,45,Tall ( >180cm ),x
7839,42,6',x
7840,33,183 cm,x
7841,29,"6'3""",x
7842,27,"6'1""",x
7843,25,175 cm,x
7844,23,"6'2""",x
7845,22,Average ( 165cm < x < 180cm ),x
7846,20,"5'1"" or 155cm",x
